personal_color,undertone,skin_tone,recommended_foundation_family,recommended_blush_color,recommended_lip_color,recommended_eyeshadow_palette,recommended_jewelry_color,recommended_clothing_palette,avoided_colors,notes
Summer,Warm,Fair,Soft warm ivory,"Soft rose, cool pink, mauve","Rose, mauve, soft berry","Taupe, mauve, cool pink, silver",Silver,"Powder blue, lavender, rose pink, soft navy, dove gray","Orange, neon colors, mustard, heavy black","Soft, cool, and gently muted colors create harmony."
Summer,Warm,Light,Beige rose,"Soft rose, cool pink, mauve","Rose, mauve, soft berry","Taupe, mauve, cool pink, silver",Silver,"Powder blue, lavender, rose pink, soft navy, dove gray","Orange, neon colors, mustard, heavy black","Soft, cool, and gently muted colors create harmony."
Summer,Warm,Medium,Neutral beige,"Soft rose, cool pink, mauve","Rose, mauve, soft berry","Taupe, mauve, cool pink, silver",Silver,"Powder blue, lavender, rose pink, soft navy, dove gray","Orange, neon colors, mustard, heavy black","Soft, cool, and gently muted colors create harmony."
Summer,Warm,Tan,Warm taupe,"Soft rose, cool pink, mauve","Rose, mauve, soft berry","Taupe, mauve, cool pink, silver",Silver,"Powder blue, lavender, rose pink, soft navy, dove gray","Orange, neon colors, mustard, heavy black","Soft, cool, and gently muted colors create harmony."
Summer,Warm,Deep,Soft cocoa,"Soft rose, cool pink, mauve","Rose, mauve, soft berry","Taupe, mauve, cool pink, silver",Silver,"Powder blue, lavender, rose pink, soft navy, dove gray","Orange, neon colors, mustard, heavy black","Soft, cool, and gently muted colors create harmony."
Summer,Cool,Fair,Cool ivory,"Soft rose, cool pink, mauve","Rose, mauve, soft berry","Taupe, mauve, cool pink, silver",Silver,"Powder blue, lavender, rose pink, soft navy, dove gray","Orange, neon colors, mustard, heavy black","Soft, cool, and gently muted colors create harmony."
Summer,Cool,Light,Rose beige,"Soft rose, cool pink, mauve","Rose, mauve, soft berry","Taupe, mauve, cool pink, silver",Silver,"Powder blue, lavender, rose pink, soft navy, dove gray","Orange, neon colors, mustard, heavy black","Soft, cool, and gently muted colors create harmony."
Summer,Cool,Medium,Soft neutral beige,"Soft rose, cool pink, mauve","Rose, mauve, soft berry","Taupe, mauve, cool pink, silver",Silver,"Powder blue, lavender, rose pink, soft navy, dove gray","Orange, neon colors, mustard, heavy black","Soft, cool, and gently muted colors create harmony."
Summer,Cool,Tan,Cool tan,"Soft rose, cool pink, mauve","Rose, mauve, soft berry","Taupe, mauve, cool pink, silver",Silver,"Powder blue, lavender, rose pink, soft navy, dove gray","Orange, neon colors, mustard, heavy black","Soft, cool, and gently muted colors create harmony."
Summer,Cool,Deep,Cool mocha,"Soft rose, cool pink, mauve","Rose, mauve, soft berry","Taupe, mauve, cool pink, silver",Silver,"Powder blue, lavender, rose pink, soft navy, dove gray","Orange, neon colors, mustard, heavy black","Soft, cool, and gently muted colors create harmony."
Autumn,Warm,Fair,Soft beige,"Terracotta, cinnamon, burnt peach","Brick red, terracotta, cinnamon nude","Bronze, olive, camel, chocolate",Gold,"Olive, rust, camel, mustard, forest green","Icy pinks, neon brights, blue-based fuchsia, stark white",Earthy depth and warmth flatter the palette best.
Autumn,Warm,Light,Golden beige,"Terracotta, cinnamon, burnt peach","Brick red, terracotta, cinnamon nude","Bronze, olive, camel, chocolate",Gold,"Olive, rust, camel, mustard, forest green","Icy pinks, neon brights, blue-based fuchsia, stark white",Earthy depth and warmth flatter the palette best.
Autumn,Warm,Medium,Honey beige,"Terracotta, cinnamon, burnt peach","Brick red, terracotta, cinnamon nude","Bronze, olive, camel, chocolate",Gold,"Olive, rust, camel, mustard, forest green","Icy pinks, neon brights, blue-based fuchsia, stark white",Earthy depth and warmth flatter the palette best.
Autumn,Warm,Tan,Caramel tan,"Terracotta, cinnamon, burnt peach","Brick red, terracotta, cinnamon nude","Bronze, olive, camel, chocolate",Gold,"Olive, rust, camel, mustard, forest green","Icy pinks, neon brights, blue-based fuchsia, stark white",Earthy depth and warmth flatter the palette best.
Autumn,Warm,Deep,Deep mocha,"Terracotta, cinnamon, burnt peach","Brick red, terracotta, cinnamon nude","Bronze, olive, camel, chocolate",Gold,"Olive, rust, camel, mustard, forest green","Icy pinks, neon brights, blue-based fuchsia, stark white",Earthy depth and warmth flatter the palette best.
Autumn,Cool,Fair,Neutral beige,"Terracotta, cinnamon, burnt peach","Brick red, terracotta, cinnamon nude","Bronze, olive, camel, chocolate",Gold,"Olive, rust, camel, mustard, forest green","Icy pinks, neon brights, blue-based fuchsia, stark white",Earthy depth and warmth flatter the palette best.
Autumn,Cool,Light,Olive beige,"Terracotta, cinnamon, burnt peach","Brick red, terracotta, cinnamon nude","Bronze, olive, camel, chocolate",Gold,"Olive, rust, camel, mustard, forest green","Icy pinks, neon brights, blue-based fuchsia, stark white",Earthy depth and warmth flatter the palette best.
Autumn,Cool,Medium,Taupe beige,"Terracotta, cinnamon, burnt peach","Brick red, terracotta, cinnamon nude","Bronze, olive, camel, chocolate",Gold,"Olive, rust, camel, mustard, forest green","Icy pinks, neon brights, blue-based fuchsia, stark white",Earthy depth and warmth flatter the palette best.
Autumn,Cool,Tan,Cocoa tan,"Terracotta, cinnamon, burnt peach","Brick red, terracotta, cinnamon nude","Bronze, olive, camel, chocolate",Gold,"Olive, rust, camel, mustard, forest green","Icy pinks, neon brights, blue-based fuchsia, stark white",Earthy depth and warmth flatter the palette best.
Autumn,Cool,Deep,Deep espresso,"Terracotta, cinnamon, burnt peach","Brick red, terracotta, cinnamon nude","Bronze, olive, camel, chocolate",Gold,"Olive, rust, camel, mustard, forest green","Icy pinks, neon brights, blue-based fuchsia, stark white",Earthy depth and warmth flatter the palette best.
Winter,Warm,Fair,Warm porcelain,"Berry rose, cool plum, bright pink","Blue red, cranberry, plum","Charcoal, plum, navy, icy pink",Silver,"Black, white, cobalt, emerald, fuchsia","Muted earth tones, warm orange, dusty beige, washed-out pastels",High-contrast cool tones and jewel colors create definition.
Winter,Warm,Light,Warm beige,"Berry rose, cool plum, bright pink","Blue red, cranberry, plum","Charcoal, plum, navy, icy pink",Silver,"Black, white, cobalt, emerald, fuchsia","Muted earth tones, warm orange, dusty beige, washed-out pastels",High-contrast cool tones and jewel colors create definition.
Winter,Warm,Medium,Neutral beige,"Berry rose, cool plum, bright pink","Blue red, cranberry, plum","Charcoal, plum, navy, icy pink",Silver,"Black, white, cobalt, emerald, fuchsia","Muted earth tones, warm orange, dusty beige, washed-out pastels",High-contrast cool tones and jewel colors create definition.
Winter,Warm,Tan,Caramel beige,"Berry rose, cool plum, bright pink","Blue red, cranberry, plum","Charcoal, plum, navy, icy pink",Silver,"Black, white, cobalt, emerald, fuchsia","Muted earth tones, warm orange, dusty beige, washed-out pastels",High-contrast cool tones and jewel colors create definition.
Winter,Warm,Deep,Deep cocoa,"Berry rose, cool plum, bright pink","Blue red, cranberry, plum","Charcoal, plum, navy, icy pink",Silver,"Black, white, cobalt, emerald, fuchsia","Muted earth tones, warm orange, dusty beige, washed-out pastels",High-contrast cool tones and jewel colors create definition.
Winter,Cool,Fair,Porcelain cool ivory,"Berry rose, cool plum, bright pink","Blue red, cranberry, plum","Charcoal, plum, navy, icy pink",Silver,"Black, white, cobalt, emerald, fuchsia","Muted earth tones, warm orange, dusty beige, washed-out pastels",High-contrast cool tones and jewel colors create definition.
Winter,Cool,Light,Cool beige,"Berry rose, cool plum, bright pink","Blue red, cranberry, plum","Charcoal, plum, navy, icy pink",Silver,"Black, white, cobalt, emerald, fuchsia","Muted earth tones, warm orange, dusty beige, washed-out pastels",High-contrast cool tones and jewel colors create definition.
Winter,Cool,Medium,Neutral beige,"Berry rose, cool plum, bright pink","Blue red, cranberry, plum","Charcoal, plum, navy, icy pink",Silver,"Black, white, cobalt, emerald, fuchsia","Muted earth tones, warm orange, dusty beige, washed-out pastels",High-contrast cool tones and jewel colors create definition.
Winter,Cool,Tan,Cool tan,"Berry rose, cool plum, bright pink","Blue red, cranberry, plum","Charcoal, plum, navy, icy pink",Silver,"Black, white, cobalt, emerald, fuchsia","Muted earth tones, warm orange, dusty beige, washed-out pastels",High-contrast cool tones and jewel colors create definition.
Winter,Cool,Deep,Deep cocoa,"Berry rose, cool plum, bright pink","Blue red, cranberry, plum","Charcoal, plum, navy, icy pink",Silver,"Black, white, cobalt, emerald, fuchsia","Muted earth tones, warm orange, dusty beige, washed-out pastels",High-contrast cool tones and jewel colors create definition.
