recommendation_id,personal_color,undertone,skin_tone,category,product_id,recommendation_score,priority,reason
RID00017,Spring,Warm,Fair,Blush,PID0282,93,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00018,Spring,Warm,Fair,Blush,PID0122,92,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00019,Spring,Warm,Fair,Blush,PID0127,92,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00020,Spring,Warm,Fair,Blush,PID0132,92,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00021,Spring,Warm,Fair,Lipstick,PID0108,92,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00022,Spring,Warm,Fair,Lipstick,PID0110,92,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00023,Spring,Warm,Fair,Lipstick,PID0227,92,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00024,Spring,Warm,Fair,Lipstick,PID0041,91,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00025,Spring,Warm,Fair,Lipstick,PID0046,91,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00026,Spring,Warm,Fair,Eyeshadow,PID0289,93,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00027,Spring,Warm,Fair,Eyeshadow,PID0130,92,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00028,Spring,Warm,Fair,Eyeshadow,PID0069,91,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00029,Spring,Warm,Fair,Eyeshadow,PID0290,87,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00030,Spring,Warm,Fair,Eyeshadow,PID0196,61,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00031,Spring,Warm,Light,Foundation,PID0002,99,1,warm undertone and light skin tone align with the shade depth and undertone in this base product.
RID00032,Spring,Warm,Light,Foundation,PID0072,99,2,warm undertone and light skin tone align with the shade depth and undertone in this base product.
RID00033,Spring,Warm,Light,Foundation,PID0073,99,3,warm undertone and light skin tone align with the shade depth and undertone in this base product.
RID00034,Spring,Warm,Light,Foundation,PID0074,99,4,warm undertone and light skin tone align with the shade depth and undertone in this base product.
RID00035,Spring,Warm,Light,Foundation,PID0167,99,5,warm undertone and light skin tone align with the shade depth and undertone in this base product.
RID00036,Spring,Warm,Light,Cushion,PID0010,99,1,warm undertone and light skin tone align with the shade depth and undertone in this base product.
RID00037,Spring,Warm,Light,Cushion,PID0012,99,2,warm undertone and light skin tone align with the shade depth and undertone in this base product.
RID00038,Spring,Warm,Light,Cushion,PID0024,99,3,warm undertone and light skin tone align with the shade depth and undertone in this base product.
RID00039,Spring,Warm,Light,Cushion,PID0025,99,4,warm undertone and light skin tone align with the shade depth and undertone in this base product.
RID00040,Spring,Warm,Light,Cushion,PID0095,99,5,warm undertone and light skin tone align with the shade depth and undertone in this base product.
RID00041,Spring,Warm,Light,Concealer,PID0233,99,1,warm undertone and light skin tone align with the shade depth and undertone in this base product.
RID00042,Spring,Warm,Light,Concealer,PID0259,99,2,warm undertone and light skin tone align with the shade depth and undertone in this base product.
RID00043,Spring,Warm,Light,Concealer,PID0269,99,3,warm undertone and light skin tone align with the shade depth and undertone in this base product.
RID00044,Spring,Warm,Light,Concealer,PID0258,98,4,warm undertone and light skin tone align with the shade depth and undertone in this base product.
RID00045,Spring,Warm,Light,Concealer,PID0268,98,5,warm undertone and light skin tone align with the shade depth and undertone in this base product.
RID00046,Spring,Warm,Light,Blush,PID0276,97,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00047,Spring,Warm,Light,Blush,PID0282,97,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00048,Spring,Warm,Light,Blush,PID0122,96,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00049,Spring,Warm,Light,Blush,PID0127,96,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00050,Spring,Warm,Light,Blush,PID0132,96,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00051,Spring,Warm,Light,Lipstick,PID0108,96,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00052,Spring,Warm,Light,Lipstick,PID0110,96,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00053,Spring,Warm,Light,Lipstick,PID0227,96,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00054,Spring,Warm,Light,Lipstick,PID0041,95,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00055,Spring,Warm,Light,Lipstick,PID0046,95,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00056,Spring,Warm,Light,Eyeshadow,PID0289,97,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00057,Spring,Warm,Light,Eyeshadow,PID0130,96,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00058,Spring,Warm,Light,Eyeshadow,PID0069,95,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00059,Spring,Warm,Light,Eyeshadow,PID0290,87,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00060,Spring,Warm,Light,Eyeshadow,PID0288,62,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00061,Spring,Warm,Medium,Foundation,PID0004,99,1,warm undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00062,Spring,Warm,Medium,Foundation,PID0074,99,2,warm undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00063,Spring,Warm,Medium,Foundation,PID0075,99,3,warm undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00064,Spring,Warm,Medium,Foundation,PID0076,99,4,warm undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00065,Spring,Warm,Medium,Foundation,PID0077,99,5,warm undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00066,Spring,Warm,Medium,Cushion,PID0016,99,1,warm undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00067,Spring,Warm,Medium,Cushion,PID0017,99,2,warm undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00068,Spring,Warm,Medium,Cushion,PID0018,99,3,warm undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00069,Spring,Warm,Medium,Cushion,PID0028,99,4,warm undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00070,Spring,Warm,Medium,Cushion,PID0067,99,5,warm undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00071,Spring,Warm,Medium,Concealer,PID0032,99,1,warm undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00072,Spring,Warm,Medium,Concealer,PID0235,99,2,warm undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00073,Spring,Warm,Medium,Concealer,PID0260,99,3,warm undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00074,Spring,Warm,Medium,Concealer,PID0270,99,4,warm undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00075,Spring,Warm,Medium,Concealer,PID0262,96,5,warm undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00076,Spring,Warm,Medium,Blush,PID0038,95,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00077,Spring,Warm,Medium,Blush,PID0278,93,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00078,Spring,Warm,Medium,Blush,PID0284,93,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00079,Spring,Warm,Medium,Blush,PID0125,92,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00080,Spring,Warm,Medium,Blush,PID0126,92,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00081,Spring,Warm,Medium,Lipstick,PID0113,96,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00082,Spring,Warm,Medium,Lipstick,PID0119,96,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00083,Spring,Warm,Medium,Lipstick,PID0062,95,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00084,Spring,Warm,Medium,Lipstick,PID0156,95,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00085,Spring,Warm,Medium,Lipstick,PID0162,95,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00086,Spring,Warm,Medium,Eyeshadow,PID0290,97,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00087,Spring,Warm,Medium,Eyeshadow,PID0289,87,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00088,Spring,Warm,Medium,Eyeshadow,PID0130,86,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00089,Spring,Warm,Medium,Eyeshadow,PID0069,85,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00090,Spring,Warm,Medium,Eyeshadow,PID0196,71,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00091,Spring,Warm,Tan,Foundation,PID0006,99,1,warm undertone and tan skin tone align with the shade depth and undertone in this base product.
RID00092,Spring,Warm,Tan,Foundation,PID0078,99,2,warm undertone and tan skin tone align with the shade depth and undertone in this base product.
RID00093,Spring,Warm,Tan,Foundation,PID0079,99,3,warm undertone and tan skin tone align with the shade depth and undertone in this base product.
RID00094,Spring,Warm,Tan,Foundation,PID0173,99,4,warm undertone and tan skin tone align with the shade depth and undertone in this base product.
RID00095,Spring,Warm,Tan,Foundation,PID0176,99,5,warm undertone and tan skin tone align with the shade depth and undertone in this base product.
RID00096,Spring,Warm,Tan,Cushion,PID0020,99,1,warm undertone and tan skin tone align with the shade depth and undertone in this base product.
RID00097,Spring,Warm,Tan,Cushion,PID0098,99,2,warm undertone and tan skin tone align with the shade depth and undertone in this base product.
RID00098,Spring,Warm,Tan,Cushion,PID0103,99,3,warm undertone and tan skin tone align with the shade depth and undertone in this base product.
RID00099,Spring,Warm,Tan,Cushion,PID0139,99,4,warm undertone and tan skin tone align with the shade depth and undertone in this base product.
RID00100,Spring,Warm,Tan,Cushion,PID0254,99,5,warm undertone and tan skin tone align with the shade depth and undertone in this base product.
RID00101,Spring,Warm,Tan,Concealer,PID0262,99,1,warm undertone and tan skin tone align with the shade depth and undertone in this base product.
RID00102,Spring,Warm,Tan,Concealer,PID0272,99,2,warm undertone and tan skin tone align with the shade depth and undertone in this base product.
RID00103,Spring,Warm,Tan,Concealer,PID0260,96,3,warm undertone and tan skin tone align with the shade depth and undertone in this base product.
RID00104,Spring,Warm,Tan,Concealer,PID0263,96,4,warm undertone and tan skin tone align with the shade depth and undertone in this base product.
RID00105,Spring,Warm,Tan,Concealer,PID0264,96,5,warm undertone and tan skin tone align with the shade depth and undertone in this base product.
RID00106,Spring,Warm,Tan,Blush,PID0038,91,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00107,Spring,Warm,Tan,Blush,PID0276,87,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00108,Spring,Warm,Tan,Blush,PID0278,87,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00109,Spring,Warm,Tan,Blush,PID0282,87,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00110,Spring,Warm,Tan,Blush,PID0284,87,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00111,Spring,Warm,Tan,Lipstick,PID0113,92,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00112,Spring,Warm,Tan,Lipstick,PID0119,92,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00113,Spring,Warm,Tan,Lipstick,PID0062,91,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00114,Spring,Warm,Tan,Lipstick,PID0156,91,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00115,Spring,Warm,Tan,Lipstick,PID0162,91,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00116,Spring,Warm,Tan,Eyeshadow,PID0290,93,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00117,Spring,Warm,Tan,Eyeshadow,PID0289,87,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00118,Spring,Warm,Tan,Eyeshadow,PID0130,86,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00119,Spring,Warm,Tan,Eyeshadow,PID0069,85,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00120,Spring,Warm,Tan,Eyeshadow,PID0196,67,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00121,Spring,Warm,Deep,Foundation,PID0080,99,1,warm undertone and deep skin tone align with the shade depth and undertone in this base product.
RID00122,Spring,Warm,Deep,Foundation,PID0078,95,2,warm undertone and deep skin tone align with the shade depth and undertone in this base product.
RID00123,Spring,Warm,Deep,Foundation,PID0079,95,3,warm undertone and deep skin tone align with the shade depth and undertone in this base product.
RID00124,Spring,Warm,Deep,Foundation,PID0173,95,4,warm undertone and deep skin tone align with the shade depth and undertone in this base product.
RID00125,Spring,Warm,Deep,Foundation,PID0176,95,5,warm undertone and deep skin tone align with the shade depth and undertone in this base product.
RID00126,Spring,Warm,Deep,Cushion,PID0255,99,1,warm undertone and deep skin tone align with the shade depth and undertone in this base product.
RID00127,Spring,Warm,Deep,Cushion,PID0254,96,2,warm undertone and deep skin tone align with the shade depth and undertone in this base product.
RID00128,Spring,Warm,Deep,Cushion,PID0098,95,3,warm undertone and deep skin tone align with the shade depth and undertone in this base product.
RID00129,Spring,Warm,Deep,Cushion,PID0103,95,4,warm undertone and deep skin tone align with the shade depth and undertone in this base product.
RID00130,Spring,Warm,Deep,Cushion,PID0020,94,5,warm undertone and deep skin tone align with the shade depth and undertone in this base product.
RID00131,Spring,Warm,Deep,Concealer,PID0263,99,1,warm undertone and deep skin tone align with the shade depth and undertone in this base product.
RID00132,Spring,Warm,Deep,Concealer,PID0264,99,2,warm undertone and deep skin tone align with the shade depth and undertone in this base product.
RID00133,Spring,Warm,Deep,Concealer,PID0273,99,3,warm undertone and deep skin tone align with the shade depth and undertone in this base product.
RID00134,Spring,Warm,Deep,Concealer,PID0274,99,4,warm undertone and deep skin tone align with the shade depth and undertone in this base product.
RID00135,Spring,Warm,Deep,Concealer,PID0262,96,5,warm undertone and deep skin tone align with the shade depth and undertone in this base product.
RID00136,Spring,Warm,Deep,Blush,PID0276,87,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00137,Spring,Warm,Deep,Blush,PID0278,87,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00138,Spring,Warm,Deep,Blush,PID0282,87,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00139,Spring,Warm,Deep,Blush,PID0284,87,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00140,Spring,Warm,Deep,Blush,PID0122,86,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00141,Spring,Warm,Deep,Lipstick,PID0108,86,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00142,Spring,Warm,Deep,Lipstick,PID0110,86,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00143,Spring,Warm,Deep,Lipstick,PID0112,86,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00144,Spring,Warm,Deep,Lipstick,PID0113,86,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00145,Spring,Warm,Deep,Lipstick,PID0116,86,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00146,Spring,Warm,Deep,Eyeshadow,PID0289,87,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00147,Spring,Warm,Deep,Eyeshadow,PID0290,87,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00148,Spring,Warm,Deep,Eyeshadow,PID0130,86,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00149,Spring,Warm,Deep,Eyeshadow,PID0069,85,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00150,Spring,Warm,Deep,Eyeshadow,PID0196,61,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00151,Spring,Cool,Fair,Foundation,PID0081,97,1,cool undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00152,Spring,Cool,Fair,Foundation,PID0164,97,2,cool undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00153,Spring,Cool,Fair,Foundation,PID0197,97,3,cool undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00154,Spring,Cool,Fair,Foundation,PID0202,97,4,cool undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00155,Spring,Cool,Fair,Foundation,PID0212,97,5,cool undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00156,Spring,Cool,Fair,Cushion,PID0248,98,1,cool undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00157,Spring,Cool,Fair,Cushion,PID0249,98,2,cool undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00158,Spring,Cool,Fair,Cushion,PID0092,97,3,cool undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00159,Spring,Cool,Fair,Cushion,PID0104,97,4,cool undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00160,Spring,Cool,Fair,Cushion,PID0217,97,5,cool undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00161,Spring,Cool,Fair,Concealer,PID0256,98,1,cool undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00162,Spring,Cool,Fair,Concealer,PID0257,98,2,cool undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00163,Spring,Cool,Fair,Concealer,PID0266,98,3,cool undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00164,Spring,Cool,Fair,Concealer,PID0267,98,4,cool undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00165,Spring,Cool,Fair,Concealer,PID0230,97,5,cool undertone and fair skin tone align with the shade depth and undertone in this base product.
RID00166,Spring,Cool,Fair,Blush,PID0276,83,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00167,Spring,Cool,Fair,Blush,PID0282,83,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00168,Spring,Cool,Fair,Blush,PID0122,82,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00169,Spring,Cool,Fair,Blush,PID0127,82,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00170,Spring,Cool,Fair,Blush,PID0132,82,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00171,Spring,Cool,Fair,Lipstick,PID0108,82,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00172,Spring,Cool,Fair,Lipstick,PID0110,82,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00173,Spring,Cool,Fair,Lipstick,PID0227,82,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00174,Spring,Cool,Fair,Lipstick,PID0041,81,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00175,Spring,Cool,Fair,Lipstick,PID0046,81,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00176,Spring,Cool,Fair,Eyeshadow,PID0289,83,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00177,Spring,Cool,Fair,Eyeshadow,PID0130,82,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00178,Spring,Cool,Fair,Eyeshadow,PID0069,81,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00179,Spring,Cool,Fair,Eyeshadow,PID0290,77,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00180,Spring,Cool,Fair,Eyeshadow,PID0288,68,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00181,Spring,Cool,Light,Foundation,PID0082,97,1,cool undertone and light skin tone align with the shade depth and undertone in this base product.
RID00182,Spring,Cool,Light,Foundation,PID0086,97,2,cool undertone and light skin tone align with the shade depth and undertone in this base product.
RID00183,Spring,Cool,Light,Foundation,PID0165,97,3,cool undertone and light skin tone align with the shade depth and undertone in this base product.
RID00184,Spring,Cool,Light,Foundation,PID0166,97,4,cool undertone and light skin tone align with the shade depth and undertone in this base product.
RID00185,Spring,Cool,Light,Foundation,PID0174,97,5,cool undertone and light skin tone align with the shade depth and undertone in this base product.
RID00186,Spring,Cool,Light,Cushion,PID0250,98,1,cool undertone and light skin tone align with the shade depth and undertone in this base product.
RID00187,Spring,Cool,Light,Cushion,PID0091,97,2,cool undertone and light skin tone align with the shade depth and undertone in this base product.
RID00188,Spring,Cool,Light,Cushion,PID0106,97,3,cool undertone and light skin tone align with the shade depth and undertone in this base product.
RID00189,Spring,Cool,Light,Cushion,PID0218,97,4,cool undertone and light skin tone align with the shade depth and undertone in this base product.
RID00190,Spring,Cool,Light,Cushion,PID0219,97,5,cool undertone and light skin tone align with the shade depth and undertone in this base product.
RID00191,Spring,Cool,Light,Concealer,PID0258,98,1,cool undertone and light skin tone align with the shade depth and undertone in this base product.
RID00192,Spring,Cool,Light,Concealer,PID0268,98,2,cool undertone and light skin tone align with the shade depth and undertone in this base product.
RID00193,Spring,Cool,Light,Concealer,PID0231,97,3,cool undertone and light skin tone align with the shade depth and undertone in this base product.
RID00194,Spring,Cool,Light,Concealer,PID0232,97,4,cool undertone and light skin tone align with the shade depth and undertone in this base product.
RID00195,Spring,Cool,Light,Concealer,PID0031,96,5,cool undertone and light skin tone align with the shade depth and undertone in this base product.
RID00196,Spring,Cool,Light,Blush,PID0276,87,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00197,Spring,Cool,Light,Blush,PID0282,87,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00198,Spring,Cool,Light,Blush,PID0122,86,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00199,Spring,Cool,Light,Blush,PID0127,86,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00200,Spring,Cool,Light,Blush,PID0132,86,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00201,Spring,Cool,Light,Lipstick,PID0108,86,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00202,Spring,Cool,Light,Lipstick,PID0110,86,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00203,Spring,Cool,Light,Lipstick,PID0227,86,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00204,Spring,Cool,Light,Lipstick,PID0041,85,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00205,Spring,Cool,Light,Lipstick,PID0046,85,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00206,Spring,Cool,Light,Eyeshadow,PID0289,87,1,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00207,Spring,Cool,Light,Eyeshadow,PID0130,86,2,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00208,Spring,Cool,Light,Eyeshadow,PID0069,85,3,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00209,Spring,Cool,Light,Eyeshadow,PID0290,77,4,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00210,Spring,Cool,Light,Eyeshadow,PID0288,72,5,"Spring palettes look best in warm, clear, and lively tones such as peach, coral, and soft gold."
RID00211,Spring,Cool,Medium,Foundation,PID0084,93,1,cool undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00212,Spring,Cool,Medium,Foundation,PID0088,93,2,cool undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00213,Spring,Cool,Medium,Foundation,PID0170,93,3,cool undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00214,Spring,Cool,Medium,Foundation,PID0172,93,4,cool undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00215,Spring,Cool,Medium,Foundation,PID0200,93,5,cool undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00216,Spring,Cool,Medium,Cushion,PID0253,94,1,cool undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00217,Spring,Cool,Medium,Cushion,PID0220,93,2,cool undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00218,Spring,Cool,Medium,Cushion,PID0015,92,3,cool undertone and medium skin tone align with the shade depth and undertone in this base product.
RID00219,Spring,Cool,Medium,Cushion,PID0019,92,4,cool undertone and medium skin tone align with the shade depth and undertone in this base product.
